src	dest	type	weight
Promotes positive and ethical change	Unethical behavior	→	0
Promotes positive and ethical change	Unethical behavior	∨	0
Promotes positive and ethical change	Does not involve controversial topics	∧	1
Promotes positive and ethical change	Does not involve controversial topics	→	0
Promotes positive and ethical change	Does not involve controversial topics	∨	0
Promotes positive and ethical change	Benefits society	∧	1
Promotes positive and ethical change	Benefits society	→	0
Promotes positive and ethical change	Benefits society	∨	0
Promotes positive and ethical change	financial	∧	3
Promotes positive and ethical change	financial	→	0
Promotes positive and ethical change	financial	∨	0
Promotes positive and ethical change	Exceptional	∧	2
Promotes positive and ethical change	Exceptional	→	0
Promotes positive and ethical change	Exceptional	∨	0
Promotes positive and ethical change	Fairness	∧	1
Promotes positive and ethical change	Fairness	→	11
Promotes positive and ethical change	Fairness	∨	0
Promotes positive and ethical change	Promotes equal opportunities	∧	1
Promotes positive and ethical change	Promotes equal opportunities	→	0
Promotes positive and ethical change	Promotes equal opportunities	∨	0
Promotes positive and ethical change	Not specific to a particular topic	∧	1
Promotes positive and ethical change	Not specific to a particular topic	→	0
Promotes positive and ethical change	Not specific to a particular topic	∨	0
Promotes positive and ethical change	relevance	∧	5
Promotes positive and ethical change	relevance	→	0
Promotes positive and ethical change	relevance	∨	0
Promotes positive and ethical change	Relevant	∧	3
Promotes positive and ethical change	Relevant	→	0
Promotes positive and ethical change	Relevant	∨	0
Promotes positive and ethical change	Respect and Influence	∧	1
Promotes positive and ethical change	Respect and Influence	→	0
Promotes positive and ethical change	Respect and Influence	∨	0
Promotes positive and ethical change	provides societal benefit	∧	2
Promotes positive and ethical change	provides societal benefit	→	0
Promotes positive and ethical change	provides societal benefit	∨	0
Promotes positive and ethical change	Supports Republican policies	∧	1
Promotes positive and ethical change	Supports Republican policies	→	0
Promotes positive and ethical change	Supports Republican policies	∨	0
Promotes positive and ethical change	overall positive impact	∧	2
Promotes positive and ethical change	overall positive impact	→	0
Promotes positive and ethical change	overall positive impact	∨	0
Freedom of choice	Promotes positive and ethical change	∧	1
Freedom of choice	Promotes positive and ethical change	→	0
Freedom of choice	Promotes positive and ethical change	∨	1
Freedom of choice	Relationship to the United States	∧	1
Freedom of choice	Relationship to the United States	→	0
Freedom of choice	Relationship to the United States	∨	0
Freedom of choice	Inflicts suffering	∧	1
Freedom of choice	Inflicts suffering	→	0
Freedom of choice	Inflicts suffering	∨	0
Freedom of choice	Emotionally charged	∧	1
Freedom of choice	Emotionally charged	→	0
Freedom of choice	Emotionally charged	∨	0
Emotionally charged	Promotes positive and ethical change	∧	1
Emotionally charged	Promotes positive and ethical change	→	0
Emotionally charged	Promotes positive and ethical change	∨	0
Emotionally charged	Freedom of choice	∧	1
Emotionally charged	Freedom of choice	→	0
Emotionally charged	Freedom of choice	∨	0
Birthright citizenship	Inflicts suffering	∧	1
Birthright citizenship	Inflicts suffering	→	1
Birthright citizenship	Inflicts suffering	∨	0
Birthright citizenship	Stands by their convictions	∧	1
Birthright citizenship	Stands by their convictions	→	0
Birthright citizenship	Stands by their convictions	∨	0
Stands by their convictions	Birthright citizenship	∧	1
Stands by their convictions	Birthright citizenship	→	0
Stands by their convictions	Birthright citizenship	∨	0
Stands by their convictions	Inflicts suffering	∧	1
Stands by their convictions	Inflicts suffering	→	0
Stands by their convictions	Inflicts suffering	∨	0
Stands by their convictions	Safety	∧	0
Stands by their convictions	Safety	→	19
Stands by their convictions	Safety	∨	0
Higher education institution	Promotes lifelong learning	∧	1
Higher education institution	Promotes lifelong learning	→	0
Higher education institution	Promotes lifelong learning	∨	0
Higher education institution	Academic success and financial stability	∧	1
Higher education institution	Academic success and financial stability	→	0
Higher education institution	Academic success and financial stability	∨	0
Higher education institution	Supports positive growth and well-being	∧	1
Higher education institution	Supports positive growth and well-being	→	0
Higher education institution	Supports positive growth and well-being	∨	0
Higher education institution	Focuses on holistic development	∧	1
Higher education institution	Focuses on holistic development	→	0
Higher education institution	Focuses on holistic development	∨	0
Higher education institution	Quality of Education	∧	0
Higher education institution	Quality of Education	→	2
Higher education institution	Quality of Education	∨	0
Higher education institution	Promotes technological advancement and job creation in growing industries	∧	0
Higher education institution	Promotes technological advancement and job creation in growing industries	→	1
Higher education institution	Promotes technological advancement and job creation in growing industries	∨	0
Higher education institution	Respect and Influence	∧	0
Higher education institution	Respect and Influence	→	1
Higher education institution	Respect and Influence	∨	0
Higher education institution	Demonstrates leadership	∧	0
Higher education institution	Demonstrates leadership	→	1
Higher education institution	Demonstrates leadership	∨	0
Higher education institution	Promotes overall well-being	∧	0
Higher education institution	Promotes overall well-being	→	1
Higher education institution	Promotes overall well-being	∨	0
Higher education institution	Fairness	∧	0
Higher education institution	Fairness	→	10
Higher education institution	Fairness	∨	0
Higher education institution	knowledge acquisition	∧	2
Higher education institution	knowledge acquisition	→	0
Higher education institution	knowledge acquisition	∨	0
Higher education institution	Criminal record	∧	1
Higher education institution	Criminal record	→	0
Higher education institution	Criminal record	∨	0
Higher education institution	Inflicts suffering	∧	1
Higher education institution	Inflicts suffering	→	0
Higher education institution	Inflicts suffering	∨	0
Higher education institution	Positive	∧	1
Higher education institution	Positive	→	0
Higher education institution	Positive	∨	0
Higher education institution	Safety	∧	0
Higher education institution	Safety	→	7
Higher education institution	Safety	∨	0
Promotes lifelong learning	Higher education institution	∧	1
Promotes lifelong learning	Higher education institution	→	0
Promotes lifelong learning	Higher education institution	∨	0
Promotes lifelong learning	Academic success and financial stability	∧	1
Promotes lifelong learning	Academic success and financial stability	→	0
Promotes lifelong learning	Academic success and financial stability	∨	0
Promotes lifelong learning	Supports positive growth and well-being	∧	1
Promotes lifelong learning	Supports positive growth and well-being	→	0
Promotes lifelong learning	Supports positive growth and well-being	∨	0
Academic success and financial stability	Supports positive growth and well-being	∧	1
Academic success and financial stability	Supports positive growth and well-being	→	0
Academic success and financial stability	Supports positive growth and well-being	∨	0
Academic success and financial stability	Higher education institution	∧	1
Academic success and financial stability	Higher education institution	→	0
Academic success and financial stability	Higher education institution	∨	0
Academic success and financial stability	Promotes lifelong learning	∧	1
Academic success and financial stability	Promotes lifelong learning	→	0
Academic success and financial stability	Promotes lifelong learning	∨	0
Academic success and financial stability	Fairness	∧	0
Academic success and financial stability	Fairness	→	3
Academic success and financial stability	Fairness	∨	0
Supports positive growth and well-being	Higher education institution	∧	1
Supports positive growth and well-being	Higher education institution	→	0
Supports positive growth and well-being	Higher education institution	∨	0
Supports positive growth and well-being	Promotes lifelong learning	∧	1
Supports positive growth and well-being	Promotes lifelong learning	→	0
Supports positive growth and well-being	Promotes lifelong learning	∨	0
Supports positive growth and well-being	Academic success and financial stability	∧	1
Supports positive growth and well-being	Academic success and financial stability	→	0
Supports positive growth and well-being	Academic success and financial stability	∨	0
Quality of Education	Promotes technological advancement and job creation in growing industries	∧	1
Quality of Education	Promotes technological advancement and job creation in growing industries	→	0
Quality of Education	Promotes technological advancement and job creation in growing industries	∨	0
Quality of Education	Fairness	∧	0
Quality of Education	Fairness	→	14
Quality of Education	Fairness	∨	0
Promotes technological advancement and job creation in growing industries	Quality of Education	∧	1
Promotes technological advancement and job creation in growing industries	Quality of Education	→	0
Promotes technological advancement and job creation in growing industries	Quality of Education	∨	0
Promotes technological advancement and job creation in growing industries	Respect and Influence	∧	1
Promotes technological advancement and job creation in growing industries	Respect and Influence	→	0
Promotes technological advancement and job creation in growing industries	Respect and Influence	∨	0
Respect and Influence	Promotes technological advancement and job creation in growing industries	∧	1
Respect and Influence	Promotes technological advancement and job creation in growing industries	→	0
Respect and Influence	Promotes technological advancement and job creation in growing industries	∨	0
Respect and Influence	Demonstrates leadership	∧	3
Respect and Influence	Demonstrates leadership	→	0
Respect and Influence	Demonstrates leadership	∨	0
Respect and Influence	Fairness	∧	2
Respect and Influence	Fairness	→	29
Respect and Influence	Fairness	∨	0
Demonstrates leadership	Respect and Influence	∧	3
Demonstrates leadership	Respect and Influence	→	0
Demonstrates leadership	Respect and Influence	∨	0
Demonstrates leadership	Promotes overall well-being	∧	3
Demonstrates leadership	Promotes overall well-being	→	0
Demonstrates leadership	Promotes overall well-being	∨	0
Promotes overall well-being	Demonstrates leadership	∧	3
Promotes overall well-being	Demonstrates leadership	→	0
Promotes overall well-being	Demonstrates leadership	∨	0
Focuses on holistic development	Higher education institution	∧	1
Focuses on holistic development	Higher education institution	→	0
Focuses on holistic development	Higher education institution	∨	0
Focuses on holistic development	Fairness	∧	0
Focuses on holistic development	Fairness	→	26
Focuses on holistic development	Fairness	∨	0
not profession related	not a formal education with a degree or certification	∧	2
not profession related	not a formal education with a degree or certification	→	0
not profession related	not a formal education with a degree or certification	∨	0
not profession related	not educational institution	∧	0
not profession related	not educational institution	→	1
not profession related	not educational institution	∨	1
not profession related	Fairness	∧	1
not profession related	Fairness	→	30
not profession related	Fairness	∨	0
not a formal education with a degree or certification	not profession related	∧	2
not a formal education with a degree or certification	not profession related	→	0
not a formal education with a degree or certification	not profession related	∨	0
not a formal education with a degree or certification	not educational institution	∧	2
not a formal education with a degree or certification	not educational institution	→	1
not a formal education with a degree or certification	not educational institution	∨	0
not a formal education with a degree or certification	Fairness	∧	0
not a formal education with a degree or certification	Fairness	→	4
not a formal education with a degree or certification	Fairness	∨	0
not educational institution	Fairness	∧	0
not educational institution	Fairness	→	25
not educational institution	Fairness	∨	0
Relevant	No legislative or political initiatives	∧	1
Relevant	No legislative or political initiatives	→	0
Relevant	No legislative or political initiatives	∨	0
Relevant	produces negative outcomes	∧	1
Relevant	produces negative outcomes	→	0
Relevant	produces negative outcomes	∨	0
Relevant	supports gender equality	∧	0
Relevant	supports gender equality	→	1
Relevant	supports gender equality	∨	0
Relevant	Unethical behavior	∧	2
Relevant	Unethical behavior	→	1
Relevant	Unethical behavior	∨	0
Relevant	Promotes social and economic equality	∧	1
Relevant	Promotes social and economic equality	→	0
Relevant	Promotes social and economic equality	∨	0
Relevant	use of military force	∧	1
Relevant	use of military force	→	0
Relevant	use of military force	∨	0
No legislative or political initiatives	Relevant	∧	1
No legislative or political initiatives	Relevant	→	0
No legislative or political initiatives	Relevant	∨	0
No legislative or political initiatives	produces negative outcomes	∧	1
No legislative or political initiatives	produces negative outcomes	→	0
No legislative or political initiatives	produces negative outcomes	∨	0
produces negative outcomes	Relevant	∧	1
produces negative outcomes	Relevant	→	0
produces negative outcomes	Relevant	∨	0
produces negative outcomes	No legislative or political initiatives	∧	1
produces negative outcomes	No legislative or political initiatives	→	0
produces negative outcomes	No legislative or political initiatives	∨	0
supports gender equality	Unethical behavior	∧	1
supports gender equality	Unethical behavior	→	0
supports gender equality	Unethical behavior	∨	0
Unethical behavior	supports gender equality	∧	1
Unethical behavior	supports gender equality	→	0
Unethical behavior	supports gender equality	∨	0
Promotes social and economic equality	use of military force	∧	0
Promotes social and economic equality	use of military force	→	0
Promotes social and economic equality	use of military force	∨	1
Promotes social and economic equality	Relevant	∧	1
Promotes social and economic equality	Relevant	→	1
Promotes social and economic equality	Relevant	∨	0
Promotes social and economic equality	Impact on societal well-being	∧	0
Promotes social and economic equality	Impact on societal well-being	→	1
Promotes social and economic equality	Impact on societal well-being	∨	0
use of military force	Promotes social and economic equality	∧	0
use of military force	Promotes social and economic equality	→	0
use of military force	Promotes social and economic equality	∨	1
use of military force	Relevant	∧	1
use of military force	Relevant	→	1
use of military force	Relevant	∨	0
use of military force	Impact on societal well-being	∧	0
use of military force	Impact on societal well-being	→	1
use of military force	Impact on societal well-being	∨	0
use of military force	Safety	∧	2
use of military force	Safety	→	11
use of military force	Safety	∨	0
Demonstrates leadership	Family values	∧	1
Demonstrates leadership	Family values	→	0
Demonstrates leadership	Family values	∨	0
Demonstrates leadership	Balancing career and family	∧	1
Demonstrates leadership	Balancing career and family	→	1
Demonstrates leadership	Balancing career and family	∨	0
Impact on society and the environment	Family values	∧	1
Impact on society and the environment	Family values	→	0
Impact on society and the environment	Family values	∨	0
Impact on society and the environment	Competes in a team environment	∧	1
Impact on society and the environment	Competes in a team environment	→	0
Impact on society and the environment	Competes in a team environment	∨	0
Competes in a team environment	Impact on society and the environment	∧	1
Competes in a team environment	Impact on society and the environment	→	0
Competes in a team environment	Impact on society and the environment	∨	0
Competes in a team environment	Fairness	∧	0
Competes in a team environment	Fairness	→	9
Competes in a team environment	Fairness	∨	0
Nationality	Location	∧	1
Nationality	Location	→	0
Nationality	Location	∨	1
Nationality	Family values	∧	2
Nationality	Family values	→	0
Nationality	Family values	∨	0
Nationality	Job availability and opportunities	∧	3
Nationality	Job availability and opportunities	→	2
Nationality	Job availability and opportunities	∨	0
Nationality	fosters mutual understanding	∧	3
Nationality	fosters mutual understanding	→	0
Nationality	fosters mutual understanding	∨	0
Location	Nationality	∧	1
Location	Nationality	→	0
Location	Nationality	∨	1
Location	Family values	∧	1
Location	Family values	→	0
Location	Family values	∨	0
Location	fosters mutual understanding	∧	1
Location	fosters mutual understanding	→	0
Location	fosters mutual understanding	∨	0
Job availability and opportunities	fosters mutual understanding	∧	0
Job availability and opportunities	fosters mutual understanding	→	0
Job availability and opportunities	fosters mutual understanding	∨	1
Job availability and opportunities	Nationality	∧	3
Job availability and opportunities	Nationality	→	0
Job availability and opportunities	Nationality	∨	0
Job availability and opportunities	Location	∧	3
Job availability and opportunities	Location	→	0
Job availability and opportunities	Location	∨	0
Job availability and opportunities	Promotes ethical and fair behavior	∧	0
Job availability and opportunities	Promotes ethical and fair behavior	→	1
Job availability and opportunities	Promotes ethical and fair behavior	∨	0
Job availability and opportunities	Fairness	∧	1
Job availability and opportunities	Fairness	→	13
Job availability and opportunities	Fairness	∨	0
fosters mutual understanding	Job availability and opportunities	∧	0
fosters mutual understanding	Job availability and opportunities	→	0
fosters mutual understanding	Job availability and opportunities	∨	1
fosters mutual understanding	Nationality	∧	3
fosters mutual understanding	Nationality	→	0
fosters mutual understanding	Nationality	∨	0
fosters mutual understanding	Location	∧	1
fosters mutual understanding	Location	→	0
fosters mutual understanding	Location	∨	0
fosters mutual understanding	Promotes ethical and fair behavior	∧	0
fosters mutual understanding	Promotes ethical and fair behavior	→	1
fosters mutual understanding	Promotes ethical and fair behavior	∨	0
Lack of support	lacking assistance	∧	1
Lack of support	lacking assistance	→	0
Lack of support	lacking assistance	∨	1
Lack of support	Inflicts suffering	∧	1
Lack of support	Inflicts suffering	→	0
Lack of support	Inflicts suffering	∨	0
Lack of support	Fosters economic growth and prosperity	∧	1
Lack of support	Fosters economic growth and prosperity	→	0
Lack of support	Fosters economic growth and prosperity	∨	0
Lack of support	Safety	∧	1
Lack of support	Safety	→	17
Lack of support	Safety	∨	0
Lack of support	Promotes ethical and fair behavior	∧	0
Lack of support	Promotes ethical and fair behavior	→	1
Lack of support	Promotes ethical and fair behavior	∨	0
Lack of support	Ethical	∧	4
Lack of support	Ethical	→	0
Lack of support	Ethical	∨	0
Lack of support	Age	∧	1
Lack of support	Age	→	0
Lack of support	Age	∨	0
lacking assistance	Lack of support	∧	1
lacking assistance	Lack of support	→	0
lacking assistance	Lack of support	∨	1
lacking assistance	Inflicts suffering	∧	1
lacking assistance	Inflicts suffering	→	0
lacking assistance	Inflicts suffering	∨	0
lacking assistance	Fosters economic growth and prosperity	∧	1
lacking assistance	Fosters economic growth and prosperity	→	0
lacking assistance	Fosters economic growth and prosperity	∨	0
lacking assistance	Not affiliated with any specific belief system or political ideology	∧	1
lacking assistance	Not affiliated with any specific belief system or political ideology	→	2
lacking assistance	Not affiliated with any specific belief system or political ideology	∨	1
lacking assistance	Positive	∧	3
lacking assistance	Positive	→	0
lacking assistance	Positive	∨	0
lacking assistance	Impact on society	∧	1
lacking assistance	Impact on society	→	0
lacking assistance	Impact on society	∨	0
lacking assistance	Promotes overall well-being	∧	2
lacking assistance	Promotes overall well-being	→	1
lacking assistance	Promotes overall well-being	∨	0
lacking assistance	Exceptional	∧	0
lacking assistance	Exceptional	→	1
lacking assistance	Exceptional	∨	0
lacking assistance	provides societal benefit	∧	3
lacking assistance	provides societal benefit	→	0
lacking assistance	provides societal benefit	∨	0
lacking assistance	Contains at least one vowel	∧	0
lacking assistance	Contains at least one vowel	→	3
lacking assistance	Contains at least one vowel	∨	0
No direct relation to legal regulations	Inflicts suffering	∧	2
No direct relation to legal regulations	Inflicts suffering	→	1
No direct relation to legal regulations	Inflicts suffering	∨	0
No direct relation to legal regulations	Fosters economic growth and prosperity	∧	1
No direct relation to legal regulations	Fosters economic growth and prosperity	→	0
No direct relation to legal regulations	Fosters economic growth and prosperity	∨	0
No direct relation to legal regulations	Safety	∧	1
No direct relation to legal regulations	Safety	→	3
No direct relation to legal regulations	Safety	∨	0
prioritizes long-term sustainability	Shows disrespect for others	∧	1
prioritizes long-term sustainability	Shows disrespect for others	→	0
prioritizes long-term sustainability	Shows disrespect for others	∨	0
prioritizes long-term sustainability	not mentioned	∧	1
prioritizes long-term sustainability	not mentioned	→	0
prioritizes long-term sustainability	not mentioned	∨	0
prioritizes long-term sustainability	Inflicts suffering	∧	1
prioritizes long-term sustainability	Inflicts suffering	→	0
prioritizes long-term sustainability	Inflicts suffering	∨	0
prioritizes long-term sustainability	Inflicts harm on others	∧	1
prioritizes long-term sustainability	Inflicts harm on others	→	0
prioritizes long-term sustainability	Inflicts harm on others	∨	0
Shows disrespect for others	prioritizes long-term sustainability	∧	1
Shows disrespect for others	prioritizes long-term sustainability	→	0
Shows disrespect for others	prioritizes long-term sustainability	∨	0
Shows disrespect for others	not mentioned	∧	1
Shows disrespect for others	not mentioned	→	0
Shows disrespect for others	not mentioned	∨	0
Shows disrespect for others	Inflicts suffering	∧	1
Shows disrespect for others	Inflicts suffering	→	0
Shows disrespect for others	Inflicts suffering	∨	0
Shows disrespect for others	Inflicts harm on others	∧	1
Shows disrespect for others	Inflicts harm on others	→	0
Shows disrespect for others	Inflicts harm on others	∨	0
Operates in the private sector	prioritizes long-term sustainability	∧	0
Operates in the private sector	prioritizes long-term sustainability	→	1
Operates in the private sector	prioritizes long-term sustainability	∨	0
Operates in the private sector	Shows disrespect for others	∧	0
Operates in the private sector	Shows disrespect for others	→	1
Operates in the private sector	Shows disrespect for others	∨	0
Operates in the private sector	not mentioned	∧	1
Operates in the private sector	not mentioned	→	0
Operates in the private sector	not mentioned	∨	0
Operates in the private sector	Inflicts harm on others	∧	1
Operates in the private sector	Inflicts harm on others	→	0
Operates in the private sector	Inflicts harm on others	∨	0
Inflicts suffering	Inflicts harm on others	∧	2
Inflicts suffering	Inflicts harm on others	→	0
Inflicts suffering	Inflicts harm on others	∨	3
Inflicts suffering	prioritizes long-term sustainability	∧	1
Inflicts suffering	prioritizes long-term sustainability	→	0
Inflicts suffering	prioritizes long-term sustainability	∨	0
Inflicts suffering	Shows disrespect for others	∧	1
Inflicts suffering	Shows disrespect for others	→	0
Inflicts suffering	Shows disrespect for others	∨	0
Inflicts harm on others	Inflicts suffering	∧	2
Inflicts harm on others	Inflicts suffering	→	0
Inflicts harm on others	Inflicts suffering	∨	3
Inflicts harm on others	Operates in the private sector	∧	1
Inflicts harm on others	Operates in the private sector	→	0
Inflicts harm on others	Operates in the private sector	∨	0
Inflicts harm on others	prioritizes long-term sustainability	∧	1
Inflicts harm on others	prioritizes long-term sustainability	→	0
Inflicts harm on others	prioritizes long-term sustainability	∨	0
Inflicts harm on others	Shows disrespect for others	∧	1
Inflicts harm on others	Shows disrespect for others	→	0
Inflicts harm on others	Shows disrespect for others	∨	0
not mentioned	Inflicts harm on others	∧	0
not mentioned	Inflicts harm on others	→	1
not mentioned	Inflicts harm on others	∨	0
not mentioned	Operates in the private sector	∧	1
not mentioned	Operates in the private sector	→	0
not mentioned	Operates in the private sector	∨	0
not mentioned	prioritizes long-term sustainability	∧	1
not mentioned	prioritizes long-term sustainability	→	0
not mentioned	prioritizes long-term sustainability	∨	0
not mentioned	Shows disrespect for others	∧	1
not mentioned	Shows disrespect for others	→	0
not mentioned	Shows disrespect for others	∨	0
not mentioned	Safety	∧	1
not mentioned	Safety	→	8
not mentioned	Safety	∨	0
not mentioned	Causes harm to individuals or groups	∧	0
not mentioned	Causes harm to individuals or groups	→	1
not mentioned	Causes harm to individuals or groups	∨	0
not mentioned	Exceptional	∧	3
not mentioned	Exceptional	→	1
not mentioned	Exceptional	∨	0
not mentioned	promotes social equity	∧	1
not mentioned	promotes social equity	→	0
not mentioned	promotes social equity	∨	0
not mentioned	Engages in harmful or illegal activities	∧	1
not mentioned	Engages in harmful or illegal activities	→	0
not mentioned	Engages in harmful or illegal activities	∨	0
not mentioned	Involvement in government and decision-making	∧	1
not mentioned	Involvement in government and decision-making	→	0
not mentioned	Involvement in government and decision-making	∨	0
promotion of individual freedom	Ensures safety and well-being	∧	1
promotion of individual freedom	Ensures safety and well-being	→	0
promotion of individual freedom	Ensures safety and well-being	∨	2
promotion of individual freedom	Fosters economic growth and prosperity	∧	1
promotion of individual freedom	Fosters economic growth and prosperity	→	0
promotion of individual freedom	Fosters economic growth and prosperity	∨	0
promotion of individual freedom	not mentioned	∧	2
promotion of individual freedom	not mentioned	→	0
promotion of individual freedom	not mentioned	∨	0
promotion of individual freedom	Exceptional	∧	1
promotion of individual freedom	Exceptional	→	1
promotion of individual freedom	Exceptional	∨	0
Ensures safety and well-being	promotion of individual freedom	∧	1
Ensures safety and well-being	promotion of individual freedom	→	0
Ensures safety and well-being	promotion of individual freedom	∨	2
Ensures safety and well-being	Fosters economic growth and prosperity	∧	1
Ensures safety and well-being	Fosters economic growth and prosperity	→	0
Ensures safety and well-being	Fosters economic growth and prosperity	∨	0
Ensures safety and well-being	not mentioned	∧	1
Ensures safety and well-being	not mentioned	→	0
Ensures safety and well-being	not mentioned	∨	1
Ensures safety and well-being	Exceptional	∧	1
Ensures safety and well-being	Exceptional	→	2
Ensures safety and well-being	Exceptional	∨	0
Causes harm to individuals or groups	Exceptional	∧	0
Causes harm to individuals or groups	Exceptional	→	1
Causes harm to individuals or groups	Exceptional	∨	0
criminal behavior	Promotes ethical and fair behavior	∧	6
criminal behavior	Promotes ethical and fair behavior	→	3
criminal behavior	Promotes ethical and fair behavior	∨	0
criminal behavior	Promotes violence and warfare	∧	3
criminal behavior	Promotes violence and warfare	→	0
criminal behavior	Promotes violence and warfare	∨	0
criminal behavior	Does not pose a threat to national security	∧	3
criminal behavior	Does not pose a threat to national security	→	2
criminal behavior	Does not pose a threat to national security	∨	0
criminal behavior	criminal behavior	∧	9
criminal behavior	criminal behavior	→	2
criminal behavior	criminal behavior	∨	0
criminal behavior	Consistency with legal principles	∧	3
criminal behavior	Consistency with legal principles	→	0
criminal behavior	Consistency with legal principles	∨	0
criminal behavior	Safety	∧	0
criminal behavior	Safety	→	9
criminal behavior	Safety	∨	0
criminal behavior	Promotes healthy and sustainable lifestyle choices	∧	3
criminal behavior	Promotes healthy and sustainable lifestyle choices	→	0
criminal behavior	Promotes healthy and sustainable lifestyle choices	∨	0
criminal behavior	does not promote violence	∧	1
criminal behavior	does not promote violence	→	1
criminal behavior	does not promote violence	∨	0
criminal behavior	Upholds fundamental human rights	∧	2
criminal behavior	Upholds fundamental human rights	→	1
criminal behavior	Upholds fundamental human rights	∨	0
criminal behavior	supports gender equality	∧	0
criminal behavior	supports gender equality	→	1
criminal behavior	supports gender equality	∨	0
criminal behavior	Financial support	∧	1
criminal behavior	Financial support	→	0
criminal behavior	Financial support	∨	0
criminal behavior	promotes equality and inclusivity	∧	2
criminal behavior	promotes equality and inclusivity	→	1
criminal behavior	promotes equality and inclusivity	∨	0
criminal behavior	Upholds the law	∧	12
criminal behavior	Upholds the law	→	0
criminal behavior	Upholds the law	∨	0
criminal behavior	Commitment to religious beliefs	∧	0
criminal behavior	Commitment to religious beliefs	→	1
criminal behavior	Commitment to religious beliefs	∨	0
criminal behavior	Not promoting hate or discrimination	∧	0
criminal behavior	Not promoting hate or discrimination	→	1
criminal behavior	Not promoting hate or discrimination	∨	0
criminal behavior	Fairness	∧	1
criminal behavior	Fairness	→	7
criminal behavior	Fairness	∨	0
criminal behavior	Opposes government intervention and promotes individual freedom and rights	∧	3
criminal behavior	Opposes government intervention and promotes individual freedom and rights	→	2
criminal behavior	Opposes government intervention and promotes individual freedom and rights	∨	1
criminal behavior	Political Affiliation	∧	2
criminal behavior	Political Affiliation	→	3
criminal behavior	Political Affiliation	∨	0
criminal behavior	financial	∧	2
criminal behavior	financial	→	1
criminal behavior	financial	∨	0
criminal behavior	Fair and impartial application of laws	∧	5
criminal behavior	Fair and impartial application of laws	→	1
criminal behavior	Fair and impartial application of laws	∨	0
criminal behavior	Voting right restoration criteria	∧	3
criminal behavior	Voting right restoration criteria	→	3
criminal behavior	Voting right restoration criteria	∨	0
criminal behavior	Addresses impact on societal issues related to drug laws and usage	∧	0
criminal behavior	Addresses impact on societal issues related to drug laws and usage	→	1
criminal behavior	Addresses impact on societal issues related to drug laws and usage	∨	0
criminal behavior	prioritizes long-term sustainability	∧	0
criminal behavior	prioritizes long-term sustainability	→	1
criminal behavior	prioritizes long-term sustainability	∨	0
criminal behavior	Takes a balanced and objective stance	∧	0
criminal behavior	Takes a balanced and objective stance	→	1
criminal behavior	Takes a balanced and objective stance	∨	0
criminal behavior	Reliable	∧	0
criminal behavior	Reliable	→	1
criminal behavior	Reliable	∨	0
criminal behavior	lacking assistance	∧	0
criminal behavior	lacking assistance	→	1
criminal behavior	lacking assistance	∨	0
criminal behavior	Upholding social justice and human rights	∧	1
criminal behavior	Upholding social justice and human rights	→	0
criminal behavior	Upholding social justice and human rights	∨	0
criminal behavior	Legal repercussions	∧	5
criminal behavior	Legal repercussions	→	0
criminal behavior	Legal repercussions	∨	0
criminal behavior	Creates a strong bond among alums	∧	2
criminal behavior	Creates a strong bond among alums	→	0
criminal behavior	Creates a strong bond among alums	∨	0
criminal behavior	No criminal conviction	∧	6
criminal behavior	No criminal conviction	→	2
criminal behavior	No criminal conviction	∨	0
criminal behavior	Promotes equality and human rights	∧	1
criminal behavior	Promotes equality and human rights	→	1
criminal behavior	Promotes equality and human rights	∨	0
criminal behavior	Inappropriate	∧	1
criminal behavior	Inappropriate	→	0
criminal behavior	Inappropriate	∨	0
criminal behavior	Supports Republican policies	∧	0
criminal behavior	Supports Republican policies	→	2
criminal behavior	Supports Republican policies	∨	0
criminal behavior	Promotes peaceful and respectful behavior	∧	0
criminal behavior	Promotes peaceful and respectful behavior	→	1
criminal behavior	Promotes peaceful and respectful behavior	∨	0
criminal behavior	Represents the diversity and inclusivity of a community	∧	2
criminal behavior	Represents the diversity and inclusivity of a community	→	0
criminal behavior	Represents the diversity and inclusivity of a community	∨	0
criminal behavior	Respects the law and contributes to fair competition	∧	1
criminal behavior	Respects the law and contributes to fair competition	→	1
criminal behavior	Respects the law and contributes to fair competition	∨	0
criminal behavior	Exceptional	∧	3
criminal behavior	Exceptional	→	1
criminal behavior	Exceptional	∨	0
criminal behavior	Promotes equality and fairness	∧	2
criminal behavior	Promotes equality and fairness	→	0
criminal behavior	Promotes equality and fairness	∨	0
criminal behavior	Freedom of choice	∧	0
criminal behavior	Freedom of choice	→	2
criminal behavior	Freedom of choice	∨	0
criminal behavior	rational decision making	∧	0
criminal behavior	rational decision making	→	2
criminal behavior	rational decision making	∨	0
criminal behavior	Impact on societal well-being	∧	0
criminal behavior	Impact on societal well-being	→	1
criminal behavior	Impact on societal well-being	∨	0
criminal behavior	Being well-informed and educated is important	∧	1
criminal behavior	Being well-informed and educated is important	→	0
criminal behavior	Being well-informed and educated is important	∨	0
criminal behavior	Ensures safety and security	∧	1
criminal behavior	Ensures safety and security	→	0
criminal behavior	Ensures safety and security	∨	0
criminal behavior	Denial of access/permission	∧	0
criminal behavior	Denial of access/permission	→	1
criminal behavior	Denial of access/permission	∨	0
criminal behavior	Upholding legal and constitutional rights	∧	2
criminal behavior	Upholding legal and constitutional rights	→	3
